t_mono,position1,position2,position3,position4,position5,position6,position7,speed1,speed2,speed3,speed4,speed5,speed6,speed7,current1,current2,current3,current4,current5,current6,current7,voltage1,voltage2,voltage3,voltage4,voltage5,voltage6,voltage7,temperature1,temperature2,temperature3,temperature4,temperature5,temperature6,temperature7,en1,en2,en3,en4,en5,en6,en7,err1,err2,err3,err4,err5,err6,err7,lift_height,lift_pos,lift_current,lift_err,lift_en,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,arm_status
0.365812,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-107.000000,-2575.000000,-49.000000,-2907.000000,-240.000000,-1051.000000,18.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1004,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
0.375888,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-105.000000,-2578.000000,-56.000000,-2903.000000,-237.000000,-1053.000000,7.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1005,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
0.385906,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-99.000000,-2577.000000,-47.000000,-2915.000000,-237.000000,-1050.000000,23.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1004,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
0.396098,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-112.000000,-2569.000000,-46.000000,-2890.000000,-242.000000,-1052.000000,9.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1004,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
0.405806,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.240000,-114.000000,-2570.000000,-48.000000,-2909.000000,-242.000000,-1054.000000,32.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1004,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
0.415831,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-119.000000,-2574.000000,-41.000000,-2914.000000,-245.000000,-1053.000000,12.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1004,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
0.425828,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-106.000000,-2572.000000,-32.000000,-2889.000000,-240.000000,-1049.000000,10.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1004,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
0.435908,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-106.000000,-2576.000000,-32.000000,-2905.000000,-242.000000,-1049.000000,15.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1004,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
0.445823,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-111.000000,-2581.000000,-29.000000,-2903.000000,-245.000000,-1048.000000,15.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1004,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
0.455956,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.120000,0.000000,0.000000,0.000000,-110.000000,-2564.000000,-26.000000,-2888.000000,-243.000000,-1045.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1004,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
0.465860,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-118.000000,-2570.000000,-30.000000,-2919.000000,-241.000000,-1053.000000,15.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1005,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
0.475846,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-107.000000,-2571.000000,-48.000000,-2909.000000,-247.000000,-1049.000000,21.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1005,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
0.485891,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-108.000000,-2574.000000,-41.000000,-2911.000000,-247.000000,-1050.000000,10.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1004,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
0.495902,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,-0.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-104.000000,-2568.000000,-31.000000,-2911.000000,-242.000000,-1046.000000,20.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1005,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
0.505877,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.120000,-101.000000,-2572.000000,-37.000000,-2917.000000,-245.000000,-1050.000000,10.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1005,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
0.515978,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-103.000000,-2573.000000,-46.000000,-2910.000000,-238.000000,-1050.000000,17.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1004,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
0.525767,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-95.000000,-2567.000000,-39.000000,-2914.000000,-244.000000,-1049.000000,14.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1004,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
0.535873,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.120000,-101.000000,-2570.000000,-33.000000,-2920.000000,-243.000000,-1049.000000,17.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1005,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
0.545833,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-100.000000,-2562.000000,-41.000000,-2914.000000,-244.000000,-1047.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1004,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
0.555940,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-106.000000,-2563.000000,-52.000000,-2921.000000,-244.000000,-1048.000000,21.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1005,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
0.565831,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-109.000000,-2564.000000,-43.000000,-2931.000000,-242.000000,-1045.000000,16.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1004,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
0.575904,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-106.000000,-2567.000000,-33.000000,-2920.000000,-241.000000,-1046.000000,19.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1004,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
0.585910,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-100.000000,-2557.000000,-37.000000,-2921.000000,-246.000000,-1049.000000,17.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1004,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
0.595986,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-103.000000,-2565.000000,-40.000000,-2906.000000,-241.000000,-1049.000000,23.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1004,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
0.605877,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-99.000000,-2562.000000,-33.000000,-2931.000000,-239.000000,-1046.000000,26.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1004,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
0.615953,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.120000,-112.000000,-2565.000000,-43.000000,-2924.000000,-242.000000,-1048.000000,20.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1005,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
0.625931,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-110.000000,-2558.000000,-45.000000,-2922.000000,-239.000000,-1041.000000,24.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1005,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
0.635879,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.240000,-109.000000,-2567.000000,-44.000000,-2921.000000,-241.000000,-1047.000000,12.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1004,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
0.645898,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.360000,-112.000000,-2556.000000,-50.000000,-2930.000000,-239.000000,-1051.000000,19.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1005,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
0.655886,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-111.000000,-2561.000000,-43.000000,-2928.000000,-241.000000,-1053.000000,17.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1005,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
0.665886,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-110.000000,-2555.000000,-55.000000,-2927.000000,-240.000000,-1042.000000,11.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1005,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
0.676022,-0.001000,-0.001000,0.001000,0.000000,-0.001000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.120000,-110.000000,-2558.000000,-35.000000,-2925.000000,-238.000000,-1043.000000,13.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,38.000000,39.000000,38.000000,39.000000,38.000000,39.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,223,16091.222656,1004,0,1,1.088001,0.007001,0.055001,0.000000,1.570000,0.000000,0
