t_mono,position1,position2,position3,position4,position5,position6,position7,speed1,speed2,speed3,speed4,speed5,speed6,speed7,current1,current2,current3,current4,current5,current6,current7,voltage1,voltage2,voltage3,voltage4,voltage5,voltage6,voltage7,temperature1,temperature2,temperature3,temperature4,temperature5,temperature6,temperature7,en1,en2,en3,en4,en5,en6,en7,err1,err2,err3,err4,err5,err6,err7,lift_height,lift_pos,lift_current,lift_err,lift_en,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,arm_status
0.373488,-1.853000,-119.303001,-7.443000,98.916000,-1.310000,99.110001,-8.956000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-139.000000,146.000000,274.000000,-2883.000000,-6.000000,-103.000000,-86.000000,22.000000,22.000000,22.000000,22.000000,22.000000,21.000000,22.000000,36.000000,34.000000,34.000000,35.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,137,9873.694336,1135,0,1,0.330846,-0.017611,-0.088716,-3.120000,0.195000,-3.105000,0
0.383734,-1.853000,-119.303001,-7.443000,98.916000,-1.310000,99.110001,-8.956000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-141.000000,143.000000,270.000000,-2875.000000,-5.000000,-104.000000,-93.000000,22.000000,22.000000,22.000000,22.000000,22.000000,21.000000,22.000000,36.000000,34.000000,34.000000,35.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,137,9873.694336,1136,0,1,0.330846,-0.017611,-0.088716,-3.120000,0.195000,-3.105000,0
0.394375,-1.853000,-119.303001,-7.443000,98.916000,-1.310000,99.110001,-8.956000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-131.000000,145.000000,269.000000,-2875.000000,-3.000000,-107.000000,-87.000000,22.000000,22.000000,22.000000,22.000000,22.000000,21.000000,22.000000,36.000000,34.000000,34.000000,35.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,137,9873.692383,1134,0,1,0.330846,-0.017611,-0.088716,-3.120000,0.195000,-3.105000,0
0.404557,-1.853000,-119.303001,-7.443000,98.916000,-1.310000,99.110001,-8.956000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.240000,-135.000000,147.000000,274.000000,-2878.000000,0.000000,-115.000000,-88.000000,22.000000,22.000000,22.000000,22.000000,22.000000,21.000000,22.000000,36.000000,34.000000,34.000000,35.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,137,9873.690430,1134,0,1,0.330846,-0.017611,-0.088716,-3.120000,0.195000,-3.105000,0
0.414406,-1.853000,-119.303001,-7.443000,98.916000,-1.310000,99.110001,-8.956000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-131.000000,145.000000,270.000000,-2883.000000,-6.000000,-110.000000,-87.000000,22.000000,22.000000,22.000000,22.000000,22.000000,21.000000,22.000000,36.000000,34.000000,34.000000,35.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,137,9873.690430,1135,0,1,0.330846,-0.017611,-0.088716,-3.120000,0.195000,-3.105000,0
0.424505,-1.853000,-119.303001,-7.443000,98.916000,-1.310000,99.110001,-8.956000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.360000,-125.000000,150.000000,269.000000,-2880.000000,-4.000000,-105.000000,-89.000000,22.000000,22.000000,22.000000,22.000000,22.000000,21.000000,22.000000,36.000000,34.000000,34.000000,35.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,137,9873.692383,1137,0,1,0.330846,-0.017611,-0.088716,-3.120000,0.195000,-3.105000,0
0.434619,-1.853000,-119.303001,-7.443000,98.916000,-1.310000,99.110001,-8.956000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-119.000000,143.000000,268.000000,-2879.000000,-2.000000,-108.000000,-94.000000,22.000000,22.000000,22.000000,22.000000,22.000000,21.000000,22.000000,36.000000,34.000000,34.000000,35.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,137,9873.692383,1136,0,1,0.330846,-0.017611,-0.088716,-3.120000,0.195000,-3.105000,0
0.444398,-1.853000,-119.303001,-7.443000,98.916000,-1.310000,99.110001,-8.956000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-133.000000,141.000000,266.000000,-2882.000000,-5.000000,-107.000000,-99.000000,22.000000,22.000000,22.000000,22.000000,22.000000,21.000000,22.000000,36.000000,34.000000,34.000000,35.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,137,9873.692383,1136,0,1,0.330846,-0.017611,-0.088716,-3.120000,0.195000,-3.105000,0
0.454370,-1.853000,-119.303001,-7.443000,98.916000,-1.310000,99.110001,-8.956000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-129.000000,136.000000,264.000000,-2904.000000,3.000000,-106.000000,-97.000000,22.000000,22.000000,22.000000,22.000000,22.000000,21.000000,22.000000,36.000000,34.000000,34.000000,35.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,137,9873.692383,1137,0,1,0.330846,-0.017611,-0.088716,-3.120000,0.195000,-3.105000,0
0.464418,-1.853000,-119.303001,-7.443000,98.916000,-1.310000,99.110001,-8.956000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-131.000000,142.000000,266.000000,-2893.000000,-8.000000,-115.000000,-94.000000,22.000000,22.000000,22.000000,22.000000,22.000000,21.000000,22.000000,36.000000,34.000000,34.000000,35.000000,36.000000,36.000000,37.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,137,9873.692383,1135,0,1,0.330846,-0.017611,-0.088716,-3.120000,0.195000,-3.105000,0
