t_mono,position1,position2,position3,position4,position5,position6,position7,speed1,speed2,speed3,speed4,speed5,speed6,speed7,current1,current2,current3,current4,current5,current6,current7,voltage1,voltage2,voltage3,voltage4,voltage5,voltage6,voltage7,temperature1,temperature2,temperature3,temperature4,temperature5,temperature6,temperature7,en1,en2,en3,en4,en5,en6,en7,err1,err2,err3,err4,err5,err6,err7,lift_height,lift_pos,lift_current,lift_err,lift_en,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,arm_status
0.245616,-2.890000,-69.624001,7.513000,134.513000,17.639999,2.057000,164.891998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,64.000000,-551.000000,152.000000,-1118.000000,111.000000,-7.000000,-1.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,38.000000,38.000000,39.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.555176,837,0,1,0.514998,0.031999,-0.323628,-3.117000,-0.399000,0.077000,0
0.256019,-2.890000,-69.624001,7.513000,134.513000,17.639999,2.057000,164.891998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,63.000000,-548.000000,140.000000,-1118.000000,105.000000,-10.000000,10.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,38.000000,38.000000,39.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.555176,832,0,1,0.514998,0.031999,-0.323628,-3.117000,-0.399000,0.077000,0
0.265674,-2.890000,-69.624001,7.513000,134.513000,17.639999,2.057000,164.891998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,78.000000,-547.000000,164.000000,-1120.000000,122.000000,-11.000000,17.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,38.000000,38.000000,39.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.555176,835,0,1,0.514998,0.031999,-0.323628,-3.117000,-0.399000,0.077000,0
0.275647,-2.890000,-69.624001,7.513000,134.513000,17.639999,2.057000,164.891998,-0.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,72.000000,-545.000000,153.000000,-1119.000000,110.000000,-8.000000,15.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,38.000000,38.000000,39.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.556152,836,0,1,0.514998,0.031999,-0.323628,-3.117000,-0.399000,0.077000,0
0.285603,-2.890000,-69.624001,7.513000,134.513000,17.639999,2.057000,164.891998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,74.000000,-551.000000,168.000000,-1120.000000,118.000000,-10.000000,13.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,38.000000,38.000000,39.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.556152,838,0,1,0.514998,0.031999,-0.323628,-3.117000,-0.399000,0.077000,0
0.295603,-2.890000,-69.624001,7.513000,134.513000,17.639999,2.057000,164.891998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.120000,70.000000,-548.000000,162.000000,-1124.000000,109.000000,-10.000000,10.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,38.000000,38.000000,39.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.556152,840,0,1,0.514998,0.031999,-0.323628,-3.117000,-0.399000,0.077000,0
0.305602,-2.890000,-69.624001,7.513000,134.513000,17.639999,2.057000,164.891998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76.000000,-548.000000,152.000000,-1120.000000,116.000000,-1.000000,0.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,38.000000,38.000000,39.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.553223,837,0,1,0.514998,0.031999,-0.323628,-3.117000,-0.399000,0.077000,0
0.315675,-2.890000,-69.624001,7.513000,134.513000,17.639999,2.057000,164.891998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61.000000,-554.000000,161.000000,-1127.000000,119.000000,-9.000000,7.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,38.000000,38.000000,39.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.556152,836,0,1,0.514998,0.031999,-0.323628,-3.117000,-0.399000,0.077000,0
0.325694,-2.890000,-69.624001,7.513000,134.513000,17.639999,2.057000,164.891998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,68.000000,-549.000000,171.000000,-1126.000000,114.000000,-8.000000,7.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,38.000000,38.000000,39.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.553223,836,0,1,0.514998,0.031999,-0.323628,-3.117000,-0.399000,0.077000,0
0.335744,-2.890000,-69.624001,7.513000,134.513000,17.639999,2.057000,164.891998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,73.000000,-551.000000,145.000000,-1119.000000,116.000000,-10.000000,7.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,38.000000,38.000000,39.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.555176,837,0,1,0.514998,0.031999,-0.323628,-3.117000,-0.399000,0.077000,0
0.345659,-2.890000,-69.624001,7.513000,134.513000,17.639999,2.057000,164.891998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,70.000000,-548.000000,146.000000,-1111.000000,110.000000,-8.000000,13.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,38.000000,38.000000,39.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.555176,835,0,1,0.514998,0.031999,-0.323628,-3.117000,-0.399000,0.077000,0
0.355650,-2.890000,-69.624001,7.513000,134.513000,17.639999,2.057000,164.891998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,71.000000,-546.000000,162.000000,-1123.000000,116.000000,-5.000000,16.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,38.000000,38.000000,39.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.556152,837,0,1,0.514998,0.031999,-0.323628,-3.117000,-0.399000,0.077000,0
0.365626,-2.890000,-69.624001,7.513000,134.513000,17.639999,2.057000,164.891998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.000000,-552.000000,162.000000,-1123.000000,120.000000,-10.000000,-4.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,38.000000,38.000000,39.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.556152,837,0,1,0.514998,0.031999,-0.323628,-3.117000,-0.399000,0.077000,0
0.375629,-2.890000,-69.624001,7.513000,134.513000,17.639999,2.057000,164.891998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,64.000000,-542.000000,149.000000,-1110.000000,115.000000,-1.000000,4.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,38.000000,38.000000,39.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.555176,836,0,1,0.514998,0.031999,-0.323628,-3.117000,-0.399000,0.077000,0
0.385660,-2.890000,-69.624001,7.513000,134.513000,17.639999,2.057000,164.891998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,68.000000,-546.000000,167.000000,-1109.000000,122.000000,-4.000000,5.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,38.000000,38.000000,39.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.555176,836,0,1,0.514998,0.031999,-0.323628,-3.117000,-0.399000,0.077000,0
0.395629,-2.890000,-69.624001,7.513000,134.513000,17.639999,2.057000,164.891998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.120000,69.000000,-546.000000,131.000000,-1107.000000,111.000000,0.000000,-2.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,38.000000,38.000000,39.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.553223,837,0,1,0.514998,0.031999,-0.323628,-3.117000,-0.399000,0.077000,0
0.405636,-2.890000,-69.624001,7.513000,134.513000,17.639999,2.057000,164.891998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.000000,-555.000000,133.000000,-1104.000000,117.000000,-3.000000,14.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,38.000000,38.000000,39.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.555176,838,0,1,0.514998,0.031999,-0.323628,-3.117000,-0.399000,0.077000,0
0.415639,-2.890000,-69.624001,7.513000,134.513000,17.639999,2.057000,164.891998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.000000,-561.000000,130.000000,-1117.000000,110.000000,-6.000000,4.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,38.000000,38.000000,39.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.556152,835,0,1,0.514998,0.031999,-0.323628,-3.117000,-0.399000,0.077000,0
0.425820,-2.890000,-69.624001,7.513000,134.513000,17.639999,2.057000,164.891998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,62.000000,-545.000000,143.000000,-1114.000000,114.000000,-4.000000,10.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,38.000000,38.000000,39.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.555176,837,0,1,0.514998,0.031999,-0.323628,-3.117000,-0.399000,0.077000,0
0.435686,-2.890000,-69.624001,7.513000,134.513000,17.639999,2.057000,164.891998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,64.000000,-550.000000,148.000000,-1102.000000,110.000000,-6.000000,6.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,38.000000,38.000000,39.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.555176,836,0,1,0.514998,0.031999,-0.323628,-3.117000,-0.399000,0.077000,0
0.445625,-2.890000,-69.624001,7.513000,134.513000,17.639999,2.057000,164.891998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.240000,62.000000,-550.000000,137.000000,-1120.000000,111.000000,-4.000000,15.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,38.000000,38.000000,39.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.555176,836,0,1,0.514998,0.031999,-0.323628,-3.117000,-0.399000,0.077000,0
0.455597,-2.890000,-69.624001,7.513000,134.513000,17.639999,2.057000,164.891998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,70.000000,-555.000000,143.000000,-1102.000000,115.000000,-4.000000,6.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,38.000000,38.000000,39.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.553223,837,0,1,0.514998,0.031999,-0.323628,-3.117000,-0.399000,0.077000,0
0.465606,-2.890000,-69.624001,7.513000,134.513000,17.639999,2.057000,164.891998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,63.000000,-558.000000,159.000000,-1097.000000,113.000000,-3.000000,12.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,38.000000,38.000000,39.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.555176,837,0,1,0.514998,0.031999,-0.323628,-3.117000,-0.399000,0.077000,0
