t_mono,position1,position2,position3,position4,position5,position6,position7,speed1,speed2,speed3,speed4,speed5,speed6,speed7,current1,current2,current3,current4,current5,current6,current7,voltage1,voltage2,voltage3,voltage4,voltage5,voltage6,voltage7,temperature1,temperature2,temperature3,temperature4,temperature5,temperature6,temperature7,en1,en2,en3,en4,en5,en6,en7,err1,err2,err3,err4,err5,err6,err7,lift_height,lift_pos,lift_current,lift_err,lift_en,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,arm_status
0.152341,31.818001,-28.996000,-27.128000,57.994999,25.228001,17.246000,129.526993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.000000,-989.000000,-139.000000,-1349.000000,-3.000000,-436.000000,61.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,37.000000,37.000000,38.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.546875,835,0,1,0.861571,-0.079922,-0.323627,3.023000,-0.749000,0.278000,0
0.162266,31.818001,-28.996000,-27.128000,57.994999,25.228001,17.246000,129.526993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.120000,-22.000000,-986.000000,-162.000000,-1363.000000,0.000000,-435.000000,48.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,37.000000,37.000000,38.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.547852,834,0,1,0.861571,-0.079922,-0.323627,3.023000,-0.749000,0.278000,0
0.172287,31.818001,-28.996000,-27.128000,57.994999,25.228001,17.246000,129.526993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-16.000000,-984.000000,-163.000000,-1361.000000,-7.000000,-432.000000,51.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,37.000000,37.000000,38.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.547852,837,0,1,0.861571,-0.079922,-0.323627,3.023000,-0.749000,0.278000,0
0.182280,31.818001,-28.996000,-27.128000,57.994999,25.228001,17.246000,129.526993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-17.000000,-985.000000,-173.000000,-1358.000000,-1.000000,-433.000000,52.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,37.000000,37.000000,38.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.546875,837,0,1,0.861571,-0.079922,-0.323627,3.023000,-0.749000,0.278000,0
0.192295,31.818001,-28.996000,-27.128000,57.994999,25.228001,17.246000,129.526993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.240000,-15.000000,-984.000000,-146.000000,-1372.000000,4.000000,-441.000000,48.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,37.000000,37.000000,38.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.546875,837,0,1,0.861571,-0.079922,-0.323627,3.023000,-0.749000,0.278000,0
0.202425,31.818001,-28.996000,-27.128000,57.994999,25.228001,17.246000,129.526993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-22.000000,-982.000000,-159.000000,-1363.000000,-1.000000,-433.000000,61.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,37.000000,37.000000,38.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.546875,837,0,1,0.861571,-0.079922,-0.323627,3.023000,-0.749000,0.278000,0
0.212296,31.818001,-28.996000,-27.128000,57.994999,25.228001,17.246000,129.526993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-18.000000,-982.000000,-167.000000,-1364.000000,-3.000000,-437.000000,56.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,37.000000,37.000000,38.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.547852,836,0,1,0.861571,-0.079922,-0.323627,3.023000,-0.749000,0.278000,0
0.222291,31.818001,-28.996000,-27.128000,57.994999,25.228001,17.246000,129.526993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.000000,-987.000000,-165.000000,-1377.000000,-4.000000,-433.000000,55.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,37.000000,37.000000,38.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.546875,836,0,1,0.861571,-0.079922,-0.323627,3.023000,-0.749000,0.278000,0
0.232492,31.818001,-28.996000,-27.128000,57.994999,25.228001,17.246000,129.526993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-10.000000,-986.000000,-164.000000,-1383.000000,-4.000000,-435.000000,61.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,37.000000,37.000000,38.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.546875,836,0,1,0.861571,-0.079922,-0.323627,3.023000,-0.749000,0.278000,0
0.242234,31.818001,-28.996000,-27.128000,57.994999,25.228001,17.246000,129.526993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-21.000000,-985.000000,-158.000000,-1364.000000,-3.000000,-441.000000,65.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,37.000000,37.000000,37.000000,38.000000,39.000000,40.000000,43.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.546875,837,0,1,0.861571,-0.079922,-0.323627,3.023000,-0.749000,0.278000,0
