t_mono,position1,position2,position3,position4,position5,position6,position7,speed1,speed2,speed3,speed4,speed5,speed6,speed7,current1,current2,current3,current4,current5,current6,current7,voltage1,voltage2,voltage3,voltage4,voltage5,voltage6,voltage7,temperature1,temperature2,temperature3,temperature4,temperature5,temperature6,temperature7,en1,en2,en3,en4,en5,en6,en7,err1,err2,err3,err4,err5,err6,err7,lift_height,lift_pos,lift_current,lift_err,lift_en,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,arm_status
0.153147,17.917000,-54.625999,-8.123000,92.171997,-14.747000,50.106998,2.699000,0.000000,-0.120000,0.000000,0.000000,0.120000,0.000000,0.000000,-720.000000,-1672.000000,823.000000,-2482.000000,349.000000,138.000000,-181.000000,22.000000,22.000000,22.000000,22.000000,22.000000,21.000000,22.000000,37.000000,36.000000,34.000000,36.000000,37.000000,37.000000,39.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,75,5409.247070,1196,0,1,0.549836,-0.043526,-0.272714,3.112000,0.028000,3.137000,0
0.163112,17.917999,-54.629002,-8.123000,92.168999,-14.746000,50.106998,2.701000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-733.000000,-1709.000000,831.000000,-2550.000000,358.000000,135.000000,-172.000000,22.000000,22.000000,22.000000,22.000000,22.000000,21.000000,22.000000,37.000000,36.000000,34.000000,36.000000,37.000000,37.000000,39.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,75,5409.243164,1195,0,1,0.549870,-0.043521,-0.272693,3.112000,0.028000,3.137000,0
0.173117,17.920000,-54.629002,-8.123000,92.168999,-14.746000,50.110001,2.699000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-741.000000,-1738.000000,830.000000,-2575.000000,357.000000,121.000000,-177.000000,22.000000,22.000000,22.000000,22.000000,22.000000,21.000000,22.000000,37.000000,36.000000,34.000000,36.000000,37.000000,37.000000,39.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,75,5409.233887,1196,0,1,0.549854,-0.043515,-0.272694,3.112000,0.028000,3.137000,0
0.183047,17.916000,-54.632000,-8.123000,92.171997,-14.743000,50.116001,2.699000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-767.000000,-1769.000000,830.000000,-2605.000000,332.000000,114.000000,-186.000000,22.000000,22.000000,22.000000,22.000000,22.000000,21.000000,22.000000,37.000000,36.000000,34.000000,36.000000,37.000000,37.000000,39.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,75,5409.227051,1196,0,1,0.549802,-0.043524,-0.272684,3.112000,0.028000,3.137000,0
0.193145,17.914000,-54.627998,-8.124000,92.168999,-14.743000,50.118999,2.699000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,0.000000,-775.000000,-1810.000000,832.000000,-2628.000000,337.000000,103.000000,-169.000000,22.000000,22.000000,22.000000,22.000000,22.000000,21.000000,22.000000,37.000000,36.000000,34.000000,36.000000,37.000000,37.000000,39.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,75,5409.228027,1195,0,1,0.549788,-0.043538,-0.272697,3.112000,0.028000,3.137000,0
0.203123,17.916000,-54.632000,-8.121000,92.168999,-14.743000,50.123001,2.701000,-0.120000,0.000000,0.000000,-0.120000,0.000000,0.240000,0.000000,-780.000000,-1790.000000,831.000000,-2638.000000,347.000000,115.000000,-172.000000,22.000000,22.000000,22.000000,22.000000,22.000000,21.000000,22.000000,37.000000,36.000000,34.000000,36.000000,37.000000,37.000000,39.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,75,5409.233887,1196,0,1,0.549786,-0.043520,-0.272675,3.112000,0.028000,3.137000,0
0.213131,17.914000,-54.632999,-8.123000,92.167000,-14.740000,50.123001,2.702000,0.000000,-0.120000,0.000000,0.000000,0.000000,0.120000,0.000000,-767.000000,-1759.000000,832.000000,-2581.000000,343.000000,111.000000,-176.000000,22.000000,22.000000,22.000000,22.000000,22.000000,21.000000,22.000000,37.000000,36.000000,34.000000,36.000000,37.000000,37.000000,39.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,75,5409.238770,1196,0,1,0.549811,-0.043530,-0.272660,3.112000,0.028000,3.137000,0
0.223095,17.913000,-54.636002,-8.123000,92.157997,-14.742000,50.122002,2.699000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-744.000000,-1729.000000,832.000000,-2474.000000,335.000000,114.000000,-173.000000,22.000000,22.000000,22.000000,22.000000,22.000000,21.000000,22.000000,37.000000,36.000000,34.000000,36.000000,37.000000,37.000000,39.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,75,5409.242188,1194,0,1,0.549897,-0.043561,-0.272623,3.112000,0.028000,3.137000,0
0.233117,17.910000,-54.637001,-8.123000,92.157997,-14.742000,50.122002,2.702000,0.000000,0.000000,0.120000,0.000000,0.000000,0.000000,0.000000,-776.000000,-1729.000000,839.000000,-2496.000000,330.000000,119.000000,-177.000000,22.000000,22.000000,22.000000,22.000000,22.000000,21.000000,22.000000,37.000000,36.000000,34.000000,36.000000,37.000000,37.000000,39.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,75,5409.242188,1197,0,1,0.549903,-0.043575,-0.272614,3.112000,0.028000,3.137000,0
0.243051,17.909000,-54.639999,-8.123000,92.160004,-14.742000,50.125999,2.701000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-789.000000,-1756.000000,822.000000,-2514.000000,332.000000,118.000000,-176.000000,22.000000,22.000000,22.000000,22.000000,22.000000,21.000000,22.000000,37.000000,36.000000,34.000000,36.000000,37.000000,37.000000,39.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,75,5409.242188,1196,0,1,0.549880,-0.043586,-0.272602,3.112000,0.028000,3.137000,0
0.253069,17.907000,-54.639000,-8.124000,92.156998,-14.740000,50.125000,2.699000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-796.000000,-1778.000000,829.000000,-2582.000000,340.000000,118.000000,-171.000000,22.000000,22.000000,22.000000,22.000000,22.000000,21.000000,22.000000,37.000000,36.000000,34.000000,36.000000,37.000000,37.000000,39.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,75,5409.238770,1196,0,1,0.549901,-0.043598,-0.272602,3.112000,0.028000,3.137000,0
0.263118,17.903000,-54.639000,-8.127000,92.155998,-14.740000,50.129002,2.701000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,0.000000,-804.000000,-1792.000000,825.000000,-2585.000000,329.000000,121.000000,-174.000000,22.000000,22.000000,22.000000,22.000000,22.000000,21.000000,22.000000,37.000000,36.000000,34.000000,36.000000,37.000000,37.000000,39.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,75,5409.230957,1196,0,1,0.549883,-0.043639,-0.272597,3.112000,0.028000,3.137000,0
0.273029,17.903000,-54.639000,-8.124000,92.153999,-14.742000,50.132000,2.701000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-812.000000,-1820.000000,819.000000,-2596.000000,337.000000,123.000000,-173.000000,22.000000,22.000000,22.000000,22.000000,22.000000,21.000000,22.000000,37.000000,36.000000,34.000000,36.000000,37.000000,37.000000,39.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,75,5409.230957,1196,0,1,0.549882,-0.043630,-0.272591,3.112000,0.028000,3.137000,0
0.283054,17.903000,-54.639999,-8.124000,92.153999,-14.740000,50.132999,2.699000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-815.000000,-1844.000000,820.000000,-2630.000000,334.000000,126.000000,-171.000000,22.000000,22.000000,22.000000,22.000000,22.000000,21.000000,22.000000,37.000000,36.000000,34.000000,36.000000,37.000000,37.000000,39.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,75,5409.230957,1196,0,1,0.549880,-0.043626,-0.272584,3.112000,0.028000,3.137000,0
0.293092,17.902000,-54.639999,-8.124000,92.150002,-14.740000,50.132999,2.701000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-828.000000,-1811.000000,822.000000,-2577.000000,332.000000,120.000000,-180.000000,22.000000,22.000000,22.000000,22.000000,22.000000,21.000000,22.000000,37.000000,36.000000,34.000000,36.000000,37.000000,37.000000,39.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,75,5409.233887,1196,0,1,0.549913,-0.043639,-0.272572,3.112000,0.028000,3.137000,0
0.303069,17.900000,-54.643002,-8.123000,92.150002,-14.739000,50.132999,2.698000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-792.000000,-1785.000000,822.000000,-2497.000000,326.000000,102.000000,-162.000000,22.000000,22.000000,22.000000,22.000000,22.000000,21.000000,22.000000,37.000000,36.000000,34.000000,36.000000,37.000000,37.000000,39.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,75,5409.236816,1196,0,1,0.549927,-0.043634,-0.272555,3.112000,0.028000,3.137000,0
0.313252,17.899000,-54.643002,-8.124000,92.142998,-14.739000,50.133999,2.698000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-800.000000,-1752.000000,820.000000,-2423.000000,331.000000,115.000000,-163.000000,22.000000,22.000000,22.000000,22.000000,22.000000,21.000000,22.000000,37.000000,36.000000,34.000000,36.000000,37.000000,37.000000,39.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,75,5409.238770,1194,0,1,0.549972,-0.043662,-0.272537,3.112000,0.029000,3.137000,0
