t_mono,position1,position2,position3,position4,position5,position6,position7,speed1,speed2,speed3,speed4,speed5,speed6,speed7,current1,current2,current3,current4,current5,current6,current7,voltage1,voltage2,voltage3,voltage4,voltage5,voltage6,voltage7,temperature1,temperature2,temperature3,temperature4,temperature5,temperature6,temperature7,en1,en2,en3,en4,en5,en6,en7,err1,err2,err3,err4,err5,err6,err7,lift_height,lift_pos,lift_current,lift_err,lift_en,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,arm_status
0.298656,14.776000,-69.630997,-19.289000,127.491997,20.181000,8.606000,136.317001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,93.000000,-1061.000000,-37.000000,-1735.000000,-39.000000,-184.000000,-59.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,30.000000,30.000000,31.000000,31.000000,31.000000,32.000000,33.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5375.980957,578,0,1,0.529999,-0.059999,-0.323628,-3.116000,-0.399000,0.076000,0
0.309179,14.776000,-69.630997,-19.289000,127.491997,20.181000,8.606000,136.317001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,-1055.000000,-29.000000,-1734.000000,-43.000000,-180.000000,-64.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,30.000000,30.000000,31.000000,31.000000,31.000000,32.000000,33.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5375.980957,576,0,1,0.529999,-0.059999,-0.323628,-3.116000,-0.399000,0.076000,0
0.319144,14.776000,-69.630997,-19.289000,127.491997,20.181000,8.606000,136.317001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,103.000000,-1061.000000,-24.000000,-1732.000000,-41.000000,-181.000000,-63.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,30.000000,30.000000,31.000000,31.000000,31.000000,32.000000,33.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5375.979004,579,0,1,0.529999,-0.059999,-0.323628,-3.116000,-0.399000,0.076000,0
0.329220,14.776000,-69.630997,-19.289000,127.491997,20.181000,8.606000,136.317001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,103.000000,-1066.000000,-9.000000,-1734.000000,-34.000000,-181.000000,-52.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,30.000000,30.000000,31.000000,31.000000,31.000000,32.000000,33.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5375.980957,575,0,1,0.529999,-0.059999,-0.323628,-3.116000,-0.399000,0.076000,0
0.339174,14.776000,-69.630997,-19.289000,127.491997,20.181000,8.606000,136.317001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.120000,96.000000,-1061.000000,10.000000,-1735.000000,-40.000000,-193.000000,-58.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,30.000000,30.000000,31.000000,31.000000,31.000000,32.000000,33.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5375.980957,577,0,1,0.529999,-0.059999,-0.323628,-3.116000,-0.399000,0.076000,0
0.349236,14.776000,-69.630997,-19.289000,127.491997,20.181000,8.606000,136.317001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.120000,116.000000,-1058.000000,-22.000000,-1737.000000,-38.000000,-180.000000,-66.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,30.000000,30.000000,31.000000,31.000000,31.000000,32.000000,33.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5375.980957,577,0,1,0.529999,-0.059999,-0.323628,-3.116000,-0.399000,0.076000,0
0.359171,14.776000,-69.630997,-19.289000,127.491997,20.181000,8.606000,136.317001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,115.000000,-1059.000000,-7.000000,-1733.000000,-37.000000,-184.000000,-54.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,30.000000,30.000000,31.000000,31.000000,31.000000,32.000000,33.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5375.981934,576,0,1,0.529999,-0.059999,-0.323628,-3.116000,-0.399000,0.076000,0
0.369135,14.776000,-69.630997,-19.289000,127.491997,20.181000,8.606000,136.317001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,89.000000,-1066.000000,-14.000000,-1731.000000,-40.000000,-181.000000,-53.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,30.000000,30.000000,31.000000,31.000000,31.000000,32.000000,33.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5375.980957,576,0,1,0.529999,-0.059999,-0.323628,-3.116000,-0.399000,0.076000,0
0.379220,14.776000,-69.630997,-19.289000,127.491997,20.181000,8.606000,136.317001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.120000,114.000000,-1062.000000,-16.000000,-1728.000000,-36.000000,-185.000000,-55.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,30.000000,30.000000,31.000000,31.000000,31.000000,32.000000,33.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5375.981934,577,0,1,0.529999,-0.059999,-0.323628,-3.116000,-0.399000,0.076000,0
0.389281,14.776000,-69.630997,-19.289000,127.491997,20.181000,8.606000,136.317001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,108.000000,-1066.000000,-36.000000,-1733.000000,-42.000000,-189.000000,-63.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,30.000000,30.000000,31.000000,31.000000,31.000000,32.000000,33.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5375.979004,577,0,1,0.529999,-0.059999,-0.323628,-3.116000,-0.399000,0.076000,0
0.399369,14.776000,-69.630997,-19.289000,127.491997,20.181000,8.606000,136.317001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,106.000000,-1065.000000,-9.000000,-1745.000000,-39.000000,-182.000000,-48.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,30.000000,30.000000,31.000000,31.000000,31.000000,32.000000,33.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5375.980957,576,0,1,0.529999,-0.059999,-0.323628,-3.116000,-0.399000,0.076000,0
0.409223,14.776000,-69.630997,-19.289000,127.491997,20.181000,8.606000,136.317001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,98.000000,-1068.000000,-15.000000,-1743.000000,-32.000000,-188.000000,-52.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,30.000000,30.000000,31.000000,31.000000,31.000000,32.000000,33.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5375.979004,576,0,1,0.529999,-0.059999,-0.323628,-3.116000,-0.399000,0.076000,0
0.419179,14.764000,-69.613998,-19.288000,127.468002,20.243999,8.620000,136.264008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,109.000000,-1074.000000,-13.000000,-1748.000000,-48.000000,-190.000000,-52.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,30.000000,30.000000,31.000000,31.000000,31.000000,32.000000,33.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5375.980957,577,0,1,0.530092,-0.059999,-0.323628,-3.116000,-0.399000,0.076000,1
0.429147,14.757000,-69.597000,-19.284000,127.443001,20.264000,8.633000,136.253998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,109.000000,-1074.000000,-13.000000,-1748.000000,-48.000000,-190.000000,-52.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,30.000000,30.000000,31.000000,31.000000,31.000000,32.000000,33.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5375.980957,578,0,1,0.530189,-0.059999,-0.323628,-3.116000,-0.399000,0.076000,1
0.439226,14.745000,-69.566002,-19.275999,127.394997,20.291000,8.658000,136.246002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,109.000000,-1074.000000,-13.000000,-1748.000000,-48.000000,-190.000000,-52.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,30.000000,30.000000,31.000000,31.000000,31.000000,32.000000,33.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5375.980957,576,0,1,0.530374,-0.059999,-0.323628,-3.116000,-0.399000,0.076000,1
0.449230,14.732000,-69.528999,-19.266001,127.336998,20.316000,8.686000,136.242996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,109.000000,-1074.000000,-13.000000,-1748.000000,-48.000000,-190.000000,-52.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,30.000000,30.000000,31.000000,31.000000,31.000000,32.000000,33.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5375.980957,577,0,1,0.530599,-0.059999,-0.323628,-3.116000,-0.399000,0.076000,1
0.459271,14.715000,-69.478996,-19.253000,127.260002,20.344000,8.725000,136.244995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,109.000000,-1074.000000,-13.000000,-1748.000000,-48.000000,-190.000000,-52.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,30.000000,30.000000,31.000000,31.000000,31.000000,32.000000,33.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5375.980957,577,0,1,0.530899,-0.059999,-0.323628,-3.116000,-0.399000,0.076000,1
0.469234,14.689000,-69.402000,-19.231001,127.138000,20.382000,8.785000,136.253006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,109.000000,-1074.000000,-13.000000,-1748.000000,-48.000000,-190.000000,-52.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,30.000000,30.000000,31.000000,31.000000,31.000000,32.000000,33.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5375.980957,576,0,1,0.531370,-0.059999,-0.323628,-3.116000,-0.399000,0.076000,1
0.479216,14.662000,-69.320000,-19.208000,127.009003,20.417999,8.848000,136.266006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,109.000000,-1074.000000,-13.000000,-1748.000000,-48.000000,-190.000000,-52.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,30.000000,30.000000,31.000000,31.000000,31.000000,32.000000,33.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5375.981934,576,0,1,0.531868,-0.059999,-0.323628,-3.116000,-0.399000,0.076000,1
0.489285,14.649000,-69.282997,-19.198000,126.949997,20.433001,8.877000,136.272995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,109.000000,-1074.000000,-13.000000,-1748.000000,-48.000000,-190.000000,-52.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,30.000000,30.000000,31.000000,31.000000,31.000000,32.000000,33.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5375.980957,579,0,1,0.532096,-0.059999,-0.323628,-3.116000,-0.399000,0.076000,1
0.499191,14.615000,-69.177002,-19.169001,126.782997,20.474001,8.959000,136.294006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,109.000000,-1074.000000,-13.000000,-1748.000000,-48.000000,-190.000000,-52.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,30.000000,30.000000,31.000000,31.000000,31.000000,32.000000,33.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5375.980957,577,0,1,0.532742,-0.059999,-0.323628,-3.116000,-0.399000,0.076000,1
0.509225,14.565000,-69.025002,-19.125999,126.542000,20.528999,9.078000,136.330002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,109.000000,-1074.000000,-13.000000,-1748.000000,-48.000000,-190.000000,-52.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,30.000000,30.000000,31.000000,31.000000,31.000000,32.000000,33.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5375.980957,577,0,1,0.533672,-0.059999,-0.323628,-3.116000,-0.399000,0.076000,1
0.519166,14.517000,-68.875999,-19.086000,126.305000,20.580000,9.194000,136.367004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,109.000000,-1074.000000,-13.000000,-1748.000000,-48.000000,-190.000000,-52.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,30.000000,30.000000,31.000000,31.000000,31.000000,32.000000,33.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5375.980957,576,0,1,0.534584,-0.059999,-0.323628,-3.116000,-0.399000,0.076000,1
0.529238,14.462000,-68.706001,-19.039000,126.032997,20.635000,9.328000,136.412003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,109.000000,-1074.000000,-13.000000,-1748.000000,-48.000000,-190.000000,-52.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,30.000000,30.000000,31.000000,31.000000,31.000000,32.000000,33.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5375.979004,578,0,1,0.535629,-0.059999,-0.323628,-3.116000,-0.399000,0.076000,1
