t_mono,position1,position2,position3,position4,position5,position6,position7,speed1,speed2,speed3,speed4,speed5,speed6,speed7,current1,current2,current3,current4,current5,current6,current7,voltage1,voltage2,voltage3,voltage4,voltage5,voltage6,voltage7,temperature1,temperature2,temperature3,temperature4,temperature5,temperature6,temperature7,en1,en2,en3,en4,en5,en6,en7,err1,err2,err3,err4,err5,err6,err7,lift_height,lift_pos,lift_current,lift_err,lift_en,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,arm_status
0.324683,14.077000,-67.222000,-18.606001,123.573997,20.379000,10.470000,137.522003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-724.000000,-1507.000000,102.000000,-1867.000000,275.000000,49.000000,-187.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,36.000000,36.000000,37.000000,38.000000,38.000000,38.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.096191,494,0,1,0.545184,-0.060102,-0.323569,-3.117000,-0.400000,0.076000,0
0.334581,14.076000,-67.221001,-18.608000,123.571999,20.378000,10.472000,137.522003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-720.000000,-1505.000000,79.000000,-1863.000000,259.000000,50.000000,-181.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,36.000000,36.000000,37.000000,38.000000,38.000000,38.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.099121,495,0,1,0.545172,-0.060113,-0.323575,-3.117000,-0.400000,0.076000,0
0.344652,14.076000,-67.222000,-18.606001,123.571999,20.379000,10.474000,137.520996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.120000,-713.000000,-1500.000000,72.000000,-1851.000000,277.000000,28.000000,-172.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,36.000000,36.000000,37.000000,38.000000,38.000000,38.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.096191,495,0,1,0.545177,-0.060099,-0.323568,-3.117000,-0.400000,0.076000,0
0.354604,14.074000,-67.223999,-18.606001,123.571999,20.379000,10.475000,137.522003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-721.000000,-1493.000000,79.000000,-1861.000000,280.000000,25.000000,-179.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,36.000000,36.000000,37.000000,38.000000,38.000000,38.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.097168,496,0,1,0.545176,-0.060101,-0.323561,-3.117000,-0.400000,0.076000,0
0.364657,14.074000,-67.222000,-18.606001,123.573997,20.378000,10.475000,137.522003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.360000,-720.000000,-1477.000000,87.000000,-1865.000000,279.000000,35.000000,-174.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,36.000000,36.000000,37.000000,38.000000,38.000000,38.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.096191,493,0,1,0.545155,-0.060098,-0.323574,-3.117000,-0.400000,0.076000,0
0.374676,14.074000,-67.221001,-18.606001,123.571999,20.378000,10.476000,137.520996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000,-710.000000,-1485.000000,82.000000,-1864.000000,278.000000,37.000000,-174.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,36.000000,36.000000,37.000000,38.000000,38.000000,38.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.095215,495,0,1,0.545154,-0.060096,-0.323578,-3.117000,-0.400000,0.077000,0
0.384634,14.076000,-67.222000,-18.608000,123.571999,20.378000,10.476000,137.524002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-723.000000,-1478.000000,92.000000,-1850.000000,274.000000,33.000000,-187.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,36.000000,36.000000,37.000000,38.000000,38.000000,38.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.096191,494,0,1,0.545158,-0.060097,-0.323573,-3.117000,-0.400000,0.076000,0
0.394620,14.076000,-67.221001,-18.608999,123.571999,20.379000,10.476000,137.520996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-710.000000,-1474.000000,79.000000,-1858.000000,278.000000,30.000000,-169.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,36.000000,36.000000,37.000000,38.000000,38.000000,38.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.095215,496,0,1,0.545149,-0.060104,-0.323581,-3.117000,-0.400000,0.076000,0
0.404612,14.074000,-67.221001,-18.608000,123.570999,20.378000,10.476000,137.522003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.120000,-709.000000,-1481.000000,83.000000,-1858.000000,273.000000,27.000000,-182.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,36.000000,36.000000,37.000000,38.000000,38.000000,38.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.094238,495,0,1,0.545164,-0.060109,-0.323574,-3.117000,-0.400000,0.076000,0
0.414580,14.074000,-67.222000,-18.608999,123.570999,20.379000,10.476000,137.518997,-0.120000,0.000000,0.000000,-0.240000,0.360000,0.360000,-0.480000,-840.000000,-1375.000000,107.000000,-2033.000000,537.000000,69.000000,-307.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,36.000000,36.000000,37.000000,38.000000,38.000000,38.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.095215,496,0,1,0.545169,-0.060120,-0.323568,-3.117000,-0.400000,0.076000,1
0.424552,14.069000,-67.219002,-18.608000,123.567001,20.386000,10.486000,137.507996,-0.720000,0.480000,0.000000,-1.800000,0.840000,1.320000,-0.480000,-938.000000,-670.000000,347.000000,-2521.000000,623.000000,142.000000,-281.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,22.000000,36.000000,36.000000,37.000000,38.000000,38.000000,38.000000,40.000000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,74,5376.096191,495,0,1,0.545152,-0.060110,-0.323571,-3.117000,-0.400000,0.077000,1
